,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,14,14,14,14,14,14,14,14,13.79,13.55,12.96,11.95,38.15,11.67,12.73,13.16,12.3,11.99,39.74,10.46,12.79,12.52,12.18,12.31,41.47,10.8,12.64,12.58,11.37,11.14,44.91,7.91,11.79,12.24,11.93,11.22,25.64,36.05,13.64,8.09,8.56,8.02,25.01,11.98,35.31,13.45,7.03,7.22,23.91,11.48,11.75,34.32,11.92,6.62,21.64,10.54,11.32,11.19,33.94,11.37,21.94,10.31,11.31,11.01,34.13,11.3,21.02,10.24,11.92,11.92,33.35,11.55,21.74,10.54,11,10.97,34.03,11.72
1,14.25,0.66,14.95,14.53,14.66,40.95,36.46,11.4,13.74,13.52,12.92,11.96,38.48,11.02,12.96,12.77,13.04,11.73,40.21,10.61,13.38,12.37,11.61,11.82,42.18,10.37,12.31,12.27,11.92,10.95,44.99,7.58,11.8,12.03,12.39,11.21,26.58,36.19,13.62,8.16,7.6,7.85,24.03,12.26,35.66,13.34,7.15,7.56,21.33,11.44,12.73,35.76,12.21,6.53,21.62,10.94,11.09,11.31,33.92,11.12,21.54,10.46,11.14,11.32,34.5,11.04,21.54,10.8,11.3,10.95,33.96,11.45,21.09,10.77,11.23,11.67,34.09,11.15
2,13.64,0.75,15.26,15.19,15.28,39.88,36.05,11.15,13.81,13.44,13.15,12.4,37.86,11.25,13.17,13.17,12.98,11.57,39.33,10.72,13.26,13.06,12.2,11.43,41.85,10.92,12.91,11.31,11.58,11.43,44.37,7.39,12.35,12.2,12.23,11.46,26.47,35.9,13.53,8,8.16,7.94,24.13,11.61,36.78,13.11,7.48,6.89,22.6,11.11,12.05,36.35,11.59,6.3,21.2,10.58,11.21,11.21,34.84,10.96,21.55,10.16,11.17,11.36,34.9,10.86,20.8,9.86,11.75,11.25,34.91,11.43,21.65,10.31,10.97,11.3,34.57,11.2
3,13.31,0.72,15.12,15.29,15.43,40.13,34.92,11.71,14.15,13.61,13.62,11.99,37.7,11.19,13.34,13.06,12.65,12.06,39.26,11.22,13.46,12.53,12.11,11.42,42.07,10.65,13.26,11.99,10.66,11.37,44.9,7.73,11.88,12.13,11.68,11.68,26.56,36.5,13.53,7.72,7.72,7.97,24.74,11.93,36.26,13.51,6.74,6.82,22.67,11.4,12.02,35.56,12.18,6.17,20.74,10.23,11.3,11.86,34.84,11.03,21.34,10.66,11.68,11.16,33.7,11.46,21.56,10.21,11.12,10.98,34.49,11.64,22.68,10.53,10.87,11.08,33.65,11.19
4,14.14,0.85,14.82,15.21,15.37,39.61,36.64,11.39,14.18,12.52,13.31,11.96,37.46,10.79,14.02,12.99,12.77,11.97,39.93,10.85,13.2,11.97,12.05,12,41.99,10.33,13.24,12.09,11.59,10.76,43.43,7.14,12.78,12.74,12.39,11.52,26.01,37.24,13.3,7.79,8.13,7.53,24.75,12.2,35.16,13.31,7.32,7.26,22.59,11.04,12.19,35.67,12.14,6.37,21.33,10.59,11.55,10.88,34.25,11.4,21.62,10.3,11.24,11.43,34.05,11.36,21.71,10.65,11.51,11.21,33.52,11.4,21.31,10.47,11.34,11.49,34.47,10.92
5,13.76,0.8,15.09,14.8,15,40.55,36.47,10.72,13.9,13.35,12.81,12.75,38.01,11.08,13.35,12.77,13,11.79,40.54,10.06,12.74,12.26,12.51,11.89,42.45,10.31,13.28,11.35,11.52,11.09,43.85,7.75,12.87,12.44,11.52,11.57,26.56,36.09,13.82,7.99,7.94,7.6,24.46,11.81,36.56,12.96,7.04,7.17,22.95,11.34,12.02,34.54,12.76,6.39,20.88,10.44,11.1,12.06,33.69,11.83,20.62,10.15,10.89,11.89,34.98,11.47,21.08,10.23,11.91,11.47,34.21,11.1,20.85,10.43,11.18,11.6,34.66,11.28
6,13.46,0.79,15.07,15.18,15.28,40.22,35.53,11.9,13.98,13.44,12.47,12.68,37.66,10.71,13.99,12.98,12.48,12.18,39.93,10.9,12.89,12.21,12.75,11.32,42.83,9.96,12.63,11.93,11.5,11.15,44.19,7.56,12.28,12.28,12.1,11.59,26.82,35.88,14.25,8.3,7.81,6.94,24.09,11.78,36.75,13.28,7.1,7,23.4,10.84,12.76,35.42,11.44,6.14,21.42,10.35,11.18,11.15,35.17,10.73,21.05,10.64,11.08,11.11,34.67,11.45,21.04,10.43,11.65,11.89,34.56,10.43,21.27,10.5,11.5,11.44,34.12,11.17
7,13.85,0.58,15.07,14.15,15.73,40.62,34.73,11.55,14.31,13.36,13.23,12.82,39.03,10.74,13.02,13.18,12.16,11.87,40.46,10.66,13.06,12.56,12.28,10.98,41.17,10.67,12.79,12.37,12.06,10.94,44.35,7.52,12.44,12.24,12.02,11.43,26.19,36.51,14.05,7.93,7.8,7.52,24.51,12.43,35.18,12.72,7.72,7.44,23.32,11.74,12.17,34.76,12.38,5.63,21.07,11.14,11.76,11.52,33.16,11.35,21.39,10.7,11.12,11.26,34.5,11.03,21.62,10.62,11.29,11.22,33.93,11.32,21.5,9.72,11.19,11.02,35.62,10.95
8,13.9,0.82,14.83,14.88,15.57,40,35.31,11.23,14.09,13.95,12.95,12.47,37.62,11.43,13.04,13.6,12.34,11.97,40.1,10.57,13.18,12.49,11.85,11.81,41.9,10.8,12.62,11.86,11.66,11.16,44.92,7.67,11.89,12.36,11.79,11.37,25.82,36.37,13.53,8.35,8.32,7.61,24.83,11.79,36.95,12.47,6.97,6.99,22.4,11.38,12.53,35.22,12.09,6.38,20.92,10.68,11.2,10.94,34.88,11.38,22.11,10.32,11.21,10.92,34.23,11.21,21.09,10.08,11.51,11.39,34.63,11.3,21.25,10.88,10.8,11.42,34.57,11.08
9,13.86,0.61,15.07,14.99,15.69,39.78,36.38,10.83,13.81,13.6,13.04,12.34,39.09,11.13,13.61,12.45,12.25,11.47,40.33,11.01,12.93,12.28,11.67,11.78,42.44,10.72,12.56,11.94,11.81,10.53,43.67,7.47,12.41,13.14,11.73,11.58,26.61,35.28,14.42,8.42,7.76,7.51,25,11.64,35.93,13.11,7.37,6.95,22.88,11.45,11.82,35.27,12.24,6.34,21.36,10.29,10.93,11.25,35.16,11.01,21.4,9.87,11.7,11.47,34.54,11.02,21,10.42,11.09,12.13,34.46,10.9,21.94,10.81,11.11,11.8,33.5,10.84
10,14,0.63,15.11,15.69,14.67,39.9,35.63,10.9,14.12,13.93,13.27,12.15,38.84,10.86,13.08,13.15,12.17,11.9,39.82,11.65,12.8,12.32,12.12,11.29,41.98,10.26,12.38,12.39,11.76,11.23,45.29,7.36,12.16,11.8,12.2,11.19,25.98,37.38,13.93,7.31,7.72,7.68,24.87,11.72,36.18,12.7,7.13,7.4,23.19,11.3,12.78,34.84,12.14,5.75,21.05,10.76,11.11,11.68,34.8,10.6,21.39,10.19,11.2,11.82,34.04,11.36,21.52,10.45,11.7,10.77,34.4,11.16,21.59,10.67,11.28,11.33,33.4,11.73
11,13.76,0.78,14.89,15.22,15.27,40.08,36.63,11.21,13.78,13.62,12.63,12.13,37.79,10.99,14.04,13.3,12.19,11.69,40.59,10.39,13.29,11.83,12.13,11.77,42.13,10.21,12.79,12.8,11.41,10.66,45.29,7.01,12.52,12.28,11.23,11.67,25.72,37.05,13.64,8.07,7.63,7.89,24.77,11.9,36.49,12.95,6.55,7.34,22.48,11.46,11.94,35.4,12.31,6.41,20.85,10.63,11.8,10.93,34.06,11.73,21.32,10.53,11.16,11.52,34.02,11.45,21.49,10.54,11.42,11.28,33.93,11.34,20.72,10.3,11.43,11.81,34.41,11.33
12,13.44,0.81,14.73,15.47,15.12,40.43,36.09,11.31,14.18,13.76,12.24,12.42,37.39,10.95,14.1,13.24,12.47,11.85,40.17,10.7,13.12,12.84,11.8,11.37,41.63,10.33,12.65,11.98,12.1,11.31,44.22,7.78,12.06,12.43,11.76,11.75,26.03,36.19,14.05,8.24,8.3,7.19,24.97,12.49,35.66,13.55,6.25,7.08,23.55,11.11,12.38,35.4,11.61,5.95,21,10.54,11.27,11.38,34.41,11.4,21.88,10.44,11.2,11.33,33.79,11.36,20.6,10.14,10.87,11.24,35.41,11.74,21.18,9.75,11.5,11.5,34.85,11.22
