,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
0,13.88,34.26,38.84,41.08,41.96,44.2,25.92,25.96,23.74,21.14,21.6,21.88,22.72,13.3,35.8,38.56,39.6,41.78,45,26.1,25.46,21.98,21.9,22.28,21.64,21.34,14.92,36.14,38.22,39.74,42.44,44.56,25.66,23.96,23.76,21.28,21.38,20.82,21.94,14.44,37.82,37.24,39.1,43.56,46.16,27,24.1,22.64,21.62,21.72,20.88,21.7,14.68,37.02,37.8,40.94,41.74,46.98,26.56,25.8,23.4,21.48,22.12,22.58,22.06,15.46,48.28,48.96,51.04,53.7,53.5,63.4,36.7,34.98,30.92,32.92,32.42,32.02,29.44,61.82,61.72,64.66,64.58,65.56,76.02,72.18,46.82,43.92,42.88,43.06,44.1,45.88,74.94,74.44,76.18,76.96,76.94,83.82,86.08,81.92,53.62,55.2,54.84,55.42,60.16,87.78,88.72,88.54,88.88,88.5,91.96,93.24,94.56,88.84,88.48,88.36,88.88,100,100,100,100,100,100,100,100,100,100,100,100,100
1,14.38,36.58,38.1,40.36,42.2,43.68,27.3,25.02,22.28,21.66,21.82,22.94,21.56,14.16,36.06,38.9,40.7,41.5,44.2,25.92,26.12,22.96,21.54,20.58,21.28,21.08,16.08,35.58,39.12,39.44,42.28,45.36,27.12,24.62,22.36,20.5,22.24,20.36,21.28,14.76,35.96,38.44,41.36,42.78,46.62,26,24.48,23.94,20.24,21.2,21.06,21.08,15.56,35.94,38.84,39.86,42.44,45.84,26.9,23.7,23,20.84,21.34,21.2,21.6,14.68,47.78,50.42,51.42,53.76,53.14,62.6,37.7,34.62,32.22,34.58,31.96,32.58,31.04,61.22,62.62,65.1,65.26,66.06,76.92,73.06,45.44,43.74,44.1,42.38,43.74,46.28,75.38,75.64,76.68,77.34,77.66,84.68,86.2,81.66,55.34,53.64,54.74,54.76,58.76,87.42,88.4,88.3,88.46,89.04,92.26,93.02,93.94,88.98,89.14,89.32,88.92,100,100,100,100,100,100,100,100,100,100,100,100,100
2,14.26,37.8,37.74,40.5,41.58,45.38,27.04,24.88,22.74,21.74,21.52,21.1,21.22,14.64,36.62,39.16,39.52,41.58,45.12,26.64,25.26,22.42,21.7,20.9,21.78,21.86,14.36,35.74,38.4,40.18,42.02,46,25.92,23.98,23.56,21.66,20.92,21.3,20.96,13.5,35.78,38.42,40.58,41.64,45.78,26.9,25.08,23.38,21.92,21.48,21.9,21.72,15.08,36.98,38.72,39.36,43.04,44.68,26.36,24.58,21.32,21.56,21.56,21.62,21.66,15.06,49.28,49.46,50.84,53.96,53.3,62.88,36.32,34.72,30.82,32.2,33.32,32.88,31.2,61.9,63.42,65.2,65.58,65.06,76.24,73.02,45.52,41.5,42.3,43.32,42.44,46.22,75.5,76.44,76.62,77.28,77.8,85.1,86.54,81.82,54.42,54.44,53.52,52.82,59.02,88.14,87.66,88.98,88.32,88.32,92.48,93.94,93.82,88.52,88.96,89.1,89.7,100,100,100,100,100,100,100,100,100,100,100,100,100
3,13.1,35.64,37.4,39.92,42.7,45,26.3,24.4,22.1,21.16,21.46,21.14,21.28,13.22,35.4,38.78,39.86,42.68,45.68,25.8,23.8,22.64,21.4,22.2,21.52,21.52,14.06,36.44,39.64,39.86,42.52,44.96,26.62,25.84,23.12,21.18,21.48,21.32,21.2,14.54,36,38.3,39.38,43.1,45.88,26.94,26.14,22.86,21.1,22.24,21.38,21.04,14.32,36.2,38.72,40.36,42.56,45.78,27.36,24.88,23.98,21.8,20.86,20.66,21.42,15.76,47.56,49.92,51.44,52.92,54.26,64.1,36.9,34.8,31.24,31.44,33.28,31.74,29.94,62.24,62.98,63.62,64.28,65.2,76.88,73,45.98,42.72,42.96,43.88,42.64,45.06,75.46,75,75.78,76.42,77.24,85.22,86.36,82.1,54.52,53.34,54.22,54.36,60.02,87.48,88.84,88.46,89.56,88.64,92.8,92.98,93.7,88.86,90.08,88.56,89.26,100,100,100,100,100,100,100,100,100,100,100,100,100
4,13.46,35.5,38.96,40.48,42.44,43.78,26.92,25.32,23.94,21.5,20.82,21.86,21.66,14.84,37.02,39.34,39.56,42.42,44.62,27.12,24.74,21.82,21.08,21.48,21.98,20.58,15.08,36.32,38.02,41,42.22,45.18,26.4,25.08,23.3,21.02,20.5,21.72,22.04,14.66,36.68,36.88,41.46,41.64,45.16,26.96,25.38,23.24,21.82,21.92,22.2,21.82,14.24,37.26,38.1,41.1,42.92,46.94,26.28,24.06,22.2,22.14,21.72,20.1,20.94,14.54,48.42,48.48,51.92,53.24,53.92,61.84,36.38,35.44,31.36,32.22,32.12,31.98,29.84,61.7,62.72,63.9,65.78,64.38,77.6,73.3,46.4,42.44,43.96,44.42,42.82,44.5,74.56,75.34,77.2,78.02,76.86,84.58,86.76,82.6,54.14,54.62,55.1,55.12,60.48,87.82,88.44,88.72,88.76,88.78,92.52,93.96,94.42,89.08,88.7,88.7,88.86,100,100,100,100,100,100,100,100,100,100,100,100,100
5,13.44,35.72,37.42,40.04,42.5,43.32,27.66,24.7,22.98,20.48,21.66,21.28,21.54,14.08,36.24,37.84,39.58,40.82,44.94,27.16,24.56,24.38,21.36,20.74,20.92,21.2,14.14,36.74,38.24,40.6,42.1,44.2,27.12,25.18,24.46,21.42,21.86,22.26,21.28,13.14,36.04,38.98,40.52,41.66,45.42,26.3,25.14,23.62,21.06,21.96,21.3,21.66,14.84,34.94,38.3,40.64,41.86,45.08,27.66,25.3,23.78,21.64,22.22,21.3,22.54,15.64,48.06,49.82,51.48,52.52,54.22,63.56,36.68,35,31.4,31.66,33.12,32.32,29.4,62.34,62.78,64.48,65.58,65.94,75.6,72.98,46.9,45.4,43.84,43.84,42.54,46.28,74.06,76.34,76.5,78,78.28,84.96,84.88,81.98,55.48,54.96,55.92,54.48,58.66,87.28,88.84,88.72,89.24,88.88,92.88,93,94.12,88.62,89.1,88.42,88.12,100,100,100,100,100,100,100,100,100,100,100,100,100
6,14.34,35.74,37.92,41.5,42.24,44.28,26.52,25.52,21.58,20.64,21.24,20.5,21.86,14.48,35.66,37.66,41.56,40.98,44.12,25.56,24.7,21.62,21.88,21.2,20.94,21.26,13.5,35.9,38.78,40.34,42.68,45.8,26.86,24.52,23.58,21.64,21.3,21.3,20.88,13.76,35.18,39.24,40.84,42.88,44.36,27.72,24.94,22.28,21.86,20.84,20.82,21.88,14.16,36.7,37.48,40.78,42.54,47.24,26.42,25.36,21.82,21.56,21.98,21.24,22.22,15.24,47.5,48.72,53.18,52.24,52.58,62.66,37.76,35.2,32.44,32.38,32.96,31.66,29.4,60.46,62.2,63.56,65.38,65.32,75.46,72.68,46.56,42.68,42.36,42.32,43.2,44.54,74.94,75.86,76.4,77.4,78.16,84.54,85.4,81.62,54.02,55.3,55.6,53.8,59.92,87.26,88.44,88.24,89.14,88.5,92.26,93.02,94.28,88.4,89.08,88.06,88.72,100,100,100,100,100,100,100,100,100,100,100,100,100
7,14.48,36.3,37.96,40.08,42.58,44.44,25.52,23.58,23.58,20.72,21.96,22.2,21.32,14.72,36.52,37.22,40.38,41.64,45.94,26.52,25.6,22.62,21.42,21.58,22.8,20.94,14.1,37.64,37.5,39.08,41.72,45.54,27.02,24.08,23.62,21.3,20.52,21.92,21.94,15.84,35.46,38.24,39.2,42.1,43.96,26.72,24.78,23.36,21.5,21.44,21.42,22.16,14.5,37.36,38.46,39.52,42.08,45.32,26.44,24.5,23.72,21.44,21.58,21.08,21.14,15,49.16,50.28,50.1,53.4,54.42,62.14,37.16,33.4,31.98,32.4,32.06,32.06,29.4,61.72,61.66,64.96,66.26,66.56,76.4,73.66,46.24,42.66,43.44,42.86,42.92,44.94,74.7,75.82,76.08,77.44,77.94,84.36,86.18,81.86,54.44,54.12,53.4,55.42,60.38,87.84,87.74,88.76,89.12,89.24,92.24,93.1,93.84,89.02,89.04,88.42,88.56,100,100,100,100,100,100,100,100,100,100,100,100,100
8,14.68,35.82,37.54,39.6,41.04,46.1,27.48,24.78,23.38,20.36,19.98,20.96,21.24,14.78,37.5,37.76,40.44,40.82,45.02,26.98,25.64,23.68,21.92,21.3,21.26,21.24,14.8,35.64,38.46,39.14,42.14,44.2,27.16,24.04,22.88,20.8,22.04,21.38,21.58,14.8,36.3,38.24,40,41.74,45.6,25.94,25.72,21.86,20.72,21.66,21.04,22.24,14.46,37.16,37.6,41.08,42.78,45.98,26.86,24.94,23.98,20.94,21.22,21.68,20.6,15.76,48.8,49.44,51.5,52.22,54.16,63.18,38.06,34.36,31.82,31.96,32.18,31.98,30.56,61.72,63.78,64.04,65.58,64.4,76.94,73.74,46.64,43.48,43.24,43.76,42.12,45.74,74.98,75.86,77,76.94,78.1,84.88,86.38,82.1,54.06,55.56,54.84,54.22,60.68,87.84,88.58,88.76,88.82,89.08,92.1,92.56,93.78,88.38,88.68,88.84,88.54,100,100,100,100,100,100,100,100,100,100,100,100,100
9,13.8,36.42,37.5,39.1,42.88,44.84,26.9,25.06,23.14,22.32,21.38,21.02,21.72,14.06,35.94,37.78,40.12,42.42,45.04,25.96,24.74,22.34,20.12,22.18,20.14,21.18,13.92,35.66,38.3,41.28,41.54,45.18,26.16,24.78,23.08,21.68,21.52,21.4,21.2,14.06,36.18,39.72,39.84,42.12,46.14,27.54,25.52,22.92,21.5,20.4,21.58,22.54,14.18,35.66,38.98,40.52,42.66,45.76,26.72,24.74,22.72,21.98,21.6,21.62,21.48,15.1,49.18,49.52,50.48,54.36,53.24,63.98,36.36,35.46,31.86,31.3,31.76,31.44,29,62.46,62.2,64.62,66.32,65.78,76.38,73.56,46.6,44.26,44.62,43.6,43.86,44.8,74.14,76.3,77.5,78.3,77.26,84.2,85.86,81.78,54.32,54.9,54.6,55.2,59.9,88.04,88.3,88.48,90.28,89.22,92.98,93.18,94.22,88.74,88.24,88.74,89.38,100,100,100,100,100,100,100,100,100,100,100,100,100
