sum,A,2,3,4,5,6,7,8,9,10,J,Q,K
12,13.9398,35.94504,37.91552,39.97988,41.99628,44.39532,26.32416,24.56276,22.91804,21.29108,21.26664,21.2816,21.2502
13,14.09524,36.0996,38.08228,40.08348,42.052,44.82368,26.36056,24.60748,23.03224,21.35388,21.37228,21.38436,21.29824
14,14.31104,36.19992,38.2188,40.222,42.16896,45.21944,26.49932,24.73108,23.06196,21.39972,21.41408,21.42412,21.43356
15,14.4626,36.36712,38.38944,40.37512,42.23284,45.75852,26.56388,24.78616,23.17252,21.47072,21.47528,21.49416,21.5214
16,14.62648,36.52248,38.55396,40.47332,42.41636,46.15916,26.69412,24.88512,23.28428,21.57268,21.54456,21.60788,21.52992
17,15.34752,47.93352,49.60352,51.2032,53.11516,53.67688,62.68952,36.9924,34.50296,32.0458,32.08684,32.03072,32.02552
18,30.24952,61.73944,62.96984,64.15556,65.49908,65.62476,76.59948,73.01204,46.52764,43.2958,43.26696,43.26972,43.30472
19,45.16224,75.06284,75.87576,76.58304,77.47208,77.54892,84.5558,85.9848,81.69852,54.41788,54.5406,54.54668,54.51568
20,60.08096,87.81804,88.20156,88.51432,89.01992,88.99028,92.51656,92.98748,93.85256,88.8072,88.79252,88.7666,88.74616
21,100,100,100,100,100,100,100,100,100,100,100,100,100
