sum1,A,2,3,4,5,6,7,8,9,10,J,Q,K
AA,13.44,35.27,37.36,39.75,42.22,43.92,25.66,24.66,23.1,21.6,21.39,21.87,20.77
A2,28.25,51.13,52.32,53.63,55.63,57.96,48.89,45,41.76,37.09,37.65,37.4,38.02
A3,29.01,50.81,52.81,54.06,55.84,57.99,47.56,43.79,41.45,37.37,38.12,38.13,38.27
A4,27.71,50.18,52.27,54.19,56.51,56.64,48.94,44.64,41.29,37.77,37.43,38.75,38.39
A5,27.72,50.51,51.46,54.08,54.99,58.31,49.19,44.76,41.48,37.62,37.73,37.8,36.93
A6,27.88,53.1,55.49,56.19,58.45,60.12,55.93,48.65,44.3,39.97,40.35,39.72,39.77
A7,31.43,58.2,58.77,59.81,60.92,61.64,59.63,56.05,47.79,42.54,42.59,42.9,42.3
A8,35.84,60.03,61.88,61.94,63.06,64.94,61.66,58.68,54.6,45.31,45.59,45.71,44.86
A9,39.66,61.84,64.09,65.46,67.1,67.07,62.59,61.62,58.25,53.47,52.81,53.48,52.48
A10,47.27,65.46,66.37,68.59,68.84,70.1,64.93,62.5,59.87,55.13,55.42,55.53,56.19
AJ,47.6,65.71,66.33,68.1,68.81,70.06,65.38,62.26,59.79,55.45,55.31,55.36,55.38
AQ,47.74,66.08,66.54,68.47,69.15,70.35,65.79,62.89,58.83,54.95,55.99,55,56.06
AK,48.25,65.81,66.91,67.18,69.49,70.34,65.38,62.9,59.37,56.07,55.01,56.29,55.48
2A,28,49.9,52.45,53.92,55.77,57.48,48.27,44.55,41.68,36.87,38.14,37.28,37.59
22,14.19,35.11,37.55,40.22,41.43,44.16,25.33,25.59,22.41,21.2,21.14,21.35,21.43
23,14.48,36.26,38.24,39.82,41.79,44.3,25.85,24.86,23.21,21.73,21.56,22.15,21.55
24,14.44,36.45,38.62,40.06,42.22,44.58,26.24,24.56,23.78,21.85,21.84,21.75,21.79
25,14.62,40.44,41.56,42.96,45.67,47.28,37.7,28.13,27.22,24.11,25.22,24.8,25.13
26,17.99,45.18,46.57,48.23,50.14,51.83,44.53,40.31,31.35,28.26,28.67,29.07,29.38
27,25.35,50.88,51.99,54.6,55.92,56.94,51.15,48.02,44.03,34.08,33.72,34.27,34.19
28,32.19,57.53,59.39,61.09,61.96,64.34,57.93,54.89,50.88,46.51,47.19,46.76,47.34
29,47.91,65.57,66.18,67.82,68.79,70.46,65.35,62.55,59.98,55.86,56.08,55.81,56.07
210,23.31,38.39,40.76,41.71,42.3,43.19,40.03,38.02,34.15,31.44,31.17,30.82,30.54
2J,23.15,40,41.36,41.42,42.49,43.5,40.55,37.91,35.22,31.57,30.65,30.96,31.53
2Q,23.63,39.91,40.01,41.34,43.03,44.38,39.84,36.94,34.36,30.89,30.05,31.74,30.49
2K,23.38,40.99,40.32,42.79,43.26,43.56,39.74,37.44,34.13,30.79,31.45,30.51,30.71
3A,28.33,50.76,52.59,54.08,55.61,57.24,48.78,44.75,40.85,37.77,37.65,37.68,38.17
32,13.66,35.79,37.68,39.14,41.68,44.58,25.86,25.09,22.75,22.62,21.87,21.18,20.49
33,14.4,36.03,38.17,39.45,42.07,45.28,26.36,24.52,22.55,20.94,21.39,20.99,21
34,14.49,40.08,41.79,43.07,45.55,46.81,37.25,28.71,26.07,24.5,24.71,24.82,23.65
35,19.03,44.43,47.34,48.59,49.99,52.18,44.57,40.32,31.15,28.4,28.63,28.29,29.68
36,25.1,50.52,52.33,53.8,55.92,57.66,50.48,48.54,43.69,34.49,34.1,34.82,34.07
37,32.36,56.95,59.06,61.69,62.82,62.79,57.02,54.65,52.2,47.33,47.44,47.43,47.99
38,47.64,66.03,66.87,67.77,69.21,69.77,64.79,62.27,60.62,56.29,56.99,55.13,55.34
39,24.39,39.08,40.81,41.41,42.61,43.51,40.14,38.6,35.14,31.61,31.11,31.31,31.8
310,22.51,37.12,38.22,38.73,39.53,39.91,38.86,35.09,33.17,29.55,29.73,29.27,29.75
3J,22.23,37.62,38.25,38.64,38.65,39.63,37.55,36.39,32.15,29.75,29.73,28.46,28.82
3Q,22.73,36.5,37.98,38.83,39.71,40.12,38.61,36.31,32.84,29.9,28.77,28.56,29.34
3K,22.56,36.81,37.9,38.45,39.59,39.82,39.03,35.91,33.48,29.74,29.54,29.19,29.5
4A,28.5,50.98,52.74,54.25,56.26,57.71,48.63,45.83,41.23,38.3,37.61,37.63,38.22
42,14.23,36.38,37.99,39.46,42.36,44.58,26.84,25,22.77,22.03,20.86,21.21,21.56
43,14.66,40.15,41.75,43.45,45.36,47.91,38.12,28.41,27.44,24.55,24.72,25.37,24.48
44,19.4,44.74,46.4,48.71,50.78,51.28,44.67,40.58,30.66,28.73,28.58,29.13,28.49
45,25,51.31,52.04,54.49,55.78,56.81,51.05,48.03,44.15,34.05,33.93,34.28,34.06
46,32.12,57.73,59.67,60.25,61.88,63.6,57.73,55.31,52.26,47.11,47.67,47.07,47.16
47,47.64,65.1,67.42,67.89,68.61,69.87,66.23,62.47,60.23,55.51,54.83,56.36,56.15
48,23.24,39.61,41.45,41.64,42.44,43.75,40.42,37.74,33.47,30.53,31.93,31.41,30.96
49,22.62,37.53,37.66,38.53,38.24,40.43,37,35.79,33.23,29.27,28.79,29.33,29.38
410,21.91,34.9,35.11,35.41,36.25,36.23,36.31,33.25,30.94,28,28.34,27.64,28.07
4J,21.6,34.44,34.64,36.51,36.1,36.79,35.86,34.31,31.55,28.07,27.84,28.39,28.31
4Q,21.39,35.11,35.23,35.6,35.4,35.62,36.41,33.99,31.78,27.69,28.46,27.87,28.96
4K,21.53,34.84,35.5,34.82,36.21,36.81,36.43,32.95,31.51,27.89,27.21,28.57,27.83
5A,28.03,50.53,53.42,54.25,55.92,58.23,48.39,46.31,40.97,38.28,38.75,38.13,38.55
52,14.84,40.26,41.53,43.03,45.49,46.27,37.4,28.25,27.4,24.27,24.46,25.24,24.2
53,19.17,44.89,46.32,47.21,49.81,51.65,44.67,39.89,31.6,29.24,28.89,28.82,29.22
54,24.82,51.33,52.45,53.63,55.97,56.99,51.89,48.23,43.35,33.69,34.18,34.2,34.5
55,32.14,57.94,60.08,60.8,62.2,62.67,57.4,55.88,51.83,47.04,46.54,48.03,48.22
56,47.65,65.65,68.02,68.38,69.25,70.59,64.34,62.61,59.27,55.49,55.51,56.32,55.82
57,23.9,39.57,41.32,41.39,42.44,43.37,40.18,38,34.43,30.63,30.61,31.36,30.79
58,23.15,37.02,37.8,38.41,39.08,39.69,38.12,36.06,33.13,29.97,29.45,30.05,29.53
59,21.02,33.93,35.14,36.31,35.46,35.71,35.66,33.74,31.32,27.69,27.59,27.57,27.34
510,20.14,30.21,31.79,32.97,32.58,32.98,33.54,31.41,29.28,26.13,25.38,26.32,26.01
5J,20.3,30.98,31.64,32.43,33.24,32.98,34.74,31.46,29.01,25.97,26.19,26.38,25.32
5Q,20.15,31.8,32.36,32.35,33.48,32.83,34.33,32.26,28.66,26.5,26.61,26.19,26.3
5K,20.41,31.08,32.33,31.85,33.01,33.13,33.62,32.65,28.8,25.85,26.33,25.98,25.94
6A,28.72,54.05,54.92,56.85,58.14,59.22,56.19,47.68,45.1,39.38,39.87,40.14,40.16
62,19.73,45.12,46.55,48.33,50.17,51.6,44.58,40.75,31.56,29.76,28.99,28.85,28.38
63,24.66,50.56,51.82,53.52,56.59,57.05,50.21,47.67,43.76,33.39,33.88,34.23,33.88
64,32.31,57.36,59.03,60.79,62.29,63.1,57.62,55.69,51.83,48.02,47.1,47.12,47.48
65,47.81,65.5,67.66,67.75,69.24,69.62,65.58,62.29,59.08,56.33,55.14,55.56,56.12
66,24.17,39.36,40.08,41.31,42.85,43.24,40.27,37.51,34.63,30.98,31.88,29.9,31.05
67,23.14,36.56,38.3,37.83,39.18,39.47,38.57,35.89,32.45,29.57,29.98,29.27,29.49
68,21.72,34.56,34.15,35.94,35.88,36.49,36.75,32.92,30.79,27.14,27.17,28.49,27.29
69,20.44,31.27,32.1,31.74,32.15,33.24,33.78,31.59,29.39,26.42,26.37,26.6,25.93
610,19.51,28.87,28.82,28.63,29.05,29.95,32.16,30.84,26.77,24.49,23.18,24.79,24.01
6J,18.99,28.92,29.51,28.95,29.03,30.29,31.7,30.21,27.53,25.07,24.03,24.09,24.76
6Q,18.83,29.52,29.09,29.1,29.7,29.34,32.1,30.03,26.53,24.98,23.94,24.82,24.68
6K,19.57,28.97,28.67,29.85,29.67,30.01,32.4,30.21,27.61,24.17,23.98,23.77,24.83
7A,31.53,56.48,57.87,59.05,60.74,61.1,59.85,56.96,47.09,42.49,43.02,42.85,42.53
72,24.78,50.53,52.98,53.5,55.63,56.35,51.18,48.49,44.56,34.12,34.01,35.45,33.48
73,31.51,58.12,58.81,60.54,61.87,63.29,57.4,55.8,51.99,47.1,47.83,47.65,48.19
74,46.94,65.05,67.04,67.73,68.93,70.48,65.2,61.58,60.18,56.13,55.6,55.45,56.51
75,23.26,39.64,39.85,42.6,42.25,44.2,40.39,38.56,34.25,30.64,31.66,31.68,30.97
76,22.93,37.37,38.06,38.44,39.83,39.7,38.37,35.35,32,28.71,30.35,29.39,29.82
